C.D.S.  -  SIMBAD4 rel 1.8  -  2025.01.29CET17:13:11

Number of objects : 9018

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
95  |* b And                            |SB*|02 13 13.3221992348 +44 13 53.927938133|     ~   |6.320    |4.826    |     ~   |     ~   |K4-III:              | 112 |   0
96  |* 12 Per                           |SB*|02 42 14.9145674304 +40 11 38.221732500|5.65     |5.51     |4.92     |4.42     |4.12     |F9V                  | 191 |   0
97  |HD 18339                           |*  |02 58 02.3274942936 +38 36 53.734943700|     ~   |7.455    |6.028    |     ~   |     ~   |K3III                |  25 |   0
98  |HD 18552                           |Be*|03 00 11.8861086336 +38 07 54.197462964|5.67     |6.05     |6.11     |     ~   |     ~   |B7IVe                |  93 |   0
99  |* pi. Per                          |*  |02 58 45.6701619312 +39 39 45.815580720|4.88     |4.76     |4.70     |4.60     |4.56     |A2Vn                 |  85 |   0
100 |* rho Per                          |LP*|03 05 10.59385 +38 50 24.9943          |6.83     |5.04     |3.39     |1.59     |-0.03    |M4+IIIa              | 323 |   0
101 |HD 196642                          |*  |20 37 23.5840930440 +38 19 43.199603724|     ~   |7.220    |6.202    |     ~   |     ~   |K0III                |  32 |   0
102 |HD 197226                          |SB*|20 41 00.3612885494 +39 04 56.382671257|5.93     |6.384    |6.497    |     ~   |     ~   |B6III                |  70 |   0
103 |HD 200030                          |*  |20 59 24.6193752144 +42 19 28.069321296|6.1      |6.377    |6.465    |     ~   |     ~   |B9                   |  27 |   0
104 |HD 199892                          |SB*|20 58 30.9539504088 +41 56 23.731780380|     ~   |6.076    |6.156    |     ~   |     ~   |B9III:               |  50 |   0
105 |HD 200723                          |PM*|21 03 52.1356812000 +41 37 41.428427844|     ~   |6.720    |6.324    |     ~   |     ~   |F3IV                 |  53 |   0
106 |* nu. Cyg                          |** |20 57 10.4187305125 +41 10 01.671428052|3.96     |3.96     |3.94     |3.89     |3.89     |A0IIIn               | 162 |   0
107 |HD 202710                          |SB*|21 16 17.1290595744 +44 14 17.631403764|     ~   |7.35     |6.37     |     ~   |     ~   |K0III+A7V            |  21 |   0
108 |* ksi Cyg                          |SB*|21 04 55.8599363125 +43 55 40.272058234|7.17     |5.39     |3.73     |2.55     |1.63     |K4.5Ib-II            | 318 |   0
109 |* 68 Cyg                           |SB*|21 18 27.1862219256 +43 56 45.399147864|4.05     |4.99     |5.00     |     ~   |     ~   |O7.5IIIn((f))        | 381 |   0
110 |* g Cyg                            |PM*|21 29 26.9497663992 +46 32 26.107970964|     ~   |6.188    |5.217    |     ~   |     ~   |K0-III               | 108 |   0
111 |HD 205349                          |s*r|21 33 17.8846699368 +45 51 14.454491328|     ~   |8.010    |6.209    |     ~   |     ~   |K4Ib                 |  71 |   0
112 |* rho Cyg                          |PM*|21 33 58.8530450102 +45 35 30.620055459|5.47     |4.91     |4.02     |3.31     |2.81     |G8IIIFe-0.5          | 206 |   0
113 |V* V1339 Cyg                       |LP*|21 42 08.3536971744 +45 45 56.511493308|     ~   |7.64     |6.23     |     ~   |     ~   |M4III:               |  58 |   0
114 |V* W Cyg                           |LP*|21 36 02.4974143922 +45 22 28.523281074|8.21     |6.97     |5.38     |3.03     |0.89     |M4e-M6eIII           | 183 |   0
115 |V* V365 Lac                        |SB*|22 05 51.2185933968 +48 13 53.377700088|5.5      |6.160    |6.254    |     ~   |     ~   |B2V                  |  99 |   0
116 |HD 210289                          |*  |22 08 16.2836136312 +49 47 49.164427968|9.860    |8.000    |6.400    |     ~   |     ~   |K5III                |  22 |   0
117 |HD 211660                          |*  |22 17 28.3228450968 +49 07 37.043486760|     ~   |7.51     |6.45     |     ~   |     ~   |K0                   |  12 |   0
118 |NGC 7243                           |OpC|22 15 09.1 +49 49 48                   |     ~   |6.54     |6.4      |     ~   |     ~   |~                    | 123 |   0
119 |* alf Lac                          |PM*|22 31 17.5014213452 +50 16 56.969913082|3.78     |3.78     |3.77     |3.77     |3.80     |A1V                  | 265 |   0
120 |V* V350 Lac                        |SB*|22 30 06.5036358504 +49 21 23.084756172|     ~   |7.59     |6.42     |     ~   |     ~   |K2III                | 138 |   0
121 |* 4 Lac                            |s*b|22 24 30.9914928480 +49 28 35.010584652|4.33     |4.67     |4.58     |4.45     |4.35     |B9Iab-Ib             | 185 |   0
122 |* 9 Lac                            |PM*|22 37 22.4179184437 +51 32 42.435680257|4.98     |4.87     |4.63     |4.41     |4.27     |A9VkA7mA6            |  81 |   0
123 |HD 214240                          |SB*|22 35 53.3825016096 +50 04 14.837285784|5.7      |6.199    |6.275    |     ~   |     ~   |B3V                  |  85 |   0
124 |HD 216523                          |*  |22 52 52.2489515544 +50 24 44.226537372|     ~   |6.407    |6.463    |     ~   |     ~   |B8V                  |  33 |   0
125 |V* V424 Lac                        |s*r|22 56 25.9983901008 +49 44 00.758688324|8.66     |6.71     |4.94     |3.59     |2.54     |K5Ib                 | 158 |   0
126 |HD 216206                          |*  |22 50 10.0938802752 +50 40 36.908660604|     ~   |7.336    |6.230    |     ~   |     ~   |G5Ib-II              |  65 |   0
127 |HD 219290                          |*  |23 14 14.3818844736 +50 37 04.421676360|6.250    |6.300    |6.310    |     ~   |     ~   |A0V                  |  41 |   0
128 |HD 222748                          |*  |23 43 05.0561952792 +51 56 21.599574216|     ~   |7.47     |6.44     |     ~   |     ~   |K0                   |  11 |   0
129 |HD 223552                          |PM*|23 50 22.2333872232 +51 37 17.979960252|     ~   |6.843    |6.472    |     ~   |     ~   |F3V                  |  48 |   0
130 |V* R Cas                           |Mi*|23 58 24.8682785040 +51 23 19.713029388|6.71     |6.63     |4.80     |     ~   |     ~   |M6.5-9e              | 709 |   0
131 |HD 2054                            |SB*|00 25 06.4104962808 +53 02 48.414792012|5.38     |5.654    |5.719    |     ~   |     ~   |B9IV                 |  73 |   0
132 |HD 1976                            |SB*|00 24 15.6540035976 +52 01 11.703208404|4.84     |5.459    |5.580    |     ~   |     ~   |B5IV                 | 148 |   0
133 |V* AO Cas                          |SB*|00 17 43.0633133256 +51 25 59.116450728|5.04     |6.01     |6.14     |     ~   |     ~   |O9.2II+O8V((f))      | 333 |   0
134 |HD 2774                            |PM*|00 31 41.1571969176 +52 50 22.301154708|     ~   |6.765    |5.596    |     ~   |     ~   |K2III                |  57 |   0
135 |* nu. Cas                          |V* |00 48 50.0214949536 +50 58 05.394457956|     ~   |4.789    |4.891    |     ~   |     ~   |B9III                |  61 |   0
136 |V* V526 Cas                        |dS*|00 50 57.3955676136 +51 30 28.923950448|6.750    |6.650    |6.360    |     ~   |     ~   |F5III                |  69 |   0
137 |HD 4881                            |*  |00 51 33.7906792056 +51 34 17.128100028|6.200    |6.250    |6.220    |     ~   |     ~   |B9.5V                |  59 |   0
138 |* ksi Cas                          |SB*|00 42 03.8922075864 +50 30 45.120403944|4.05     |4.71     |4.81     |4.82     |4.94     |B3IV                 | 146 |   0
139 |HD 6028                            |*  |01 02 18.4697156064 +51 02 05.810860428|6.760    |6.610    |6.490    |     ~   |     ~   |A3V                  |  41 |   0
140 |V* OP And                          |RS*|01 36 27.2005869192 +48 43 22.000439676|     ~   |7.47     |6.22     |     ~   |     ~   |K1III:               | 105 |   0
141 |* ups Per                          |PM*|01 37 59.5580239328 +48 37 41.563066970|6.29     |4.85     |3.57     |2.61     |1.96     |K3-IIICN0.5          | 239 |   0
142 |HD 11884                           |*  |01 57 59.2356027912 +47 05 43.880137872|8.850    |7.670    |6.450    |     ~   |     ~   |K0                   |  17 |   0
143 |* 3 Per                            |*  |01 58 33.5059620456 +49 12 15.670560312|     ~   |6.706    |5.702    |     ~   |     ~   |K0IV                 |  57 |   0
144 |HD 11031A                          |** |01 49 15.5309779446 +47 53 48.899697872|     ~   |6.56     |6.46     |     ~   |     ~   |A2.5V                |   6 |   0
145 |HD 13818                           |PM*|02 15 57.7330336368 +47 48 42.982818120|8.280    |7.410    |6.360    |     ~   |     ~   |G9III-IV             |  22 |   0
146 |* c And                            |PM*|02 19 16.7969275675 +47 22 47.913234056|     ~   |5.310    |5.310    |     ~   |     ~   |A0V                  |  68 |   0
147 |HD 14372                           |*  |02 20 41.5159199880 +47 18 38.885371596|     ~   |6.065    |6.154    |     ~   |     ~   |B5V                  |  57 |   0
148 |HD 14213                           |*  |02 19 10.8243650664 +46 28 20.141072220|6.500    |6.370    |6.220    |     ~   |     ~   |A4V                  |  30 |   0
149 |HD 17246                           |** |02 47 31.1546109384 +44 16 19.917517404|     ~   |7.09     |6.47     |     ~   |     ~   |F5                   |  38 |   0
150 |* 14 Per                           |*  |02 44 05.1600277584 +44 17 49.341411348|     ~   |6.320    |5.435    |     ~   |     ~   |G0Ib-IIaCa1          | 137 |   0
151 |HD 18482                           |V* |02 59 39.8786231400 +41 01 58.585315800|     ~   |7.326    |5.877    |     ~   |     ~   |K2                   |  21 |   0
152 |HD 19066                           |*  |03 05 21.0104053320 +40 34 55.847112672|7.86     |7.06     |6.05     |     ~   |     ~   |K0III                |  34 |   0
153 |* ome Per                          |*  |03 11 17.3819765876 +39 36 41.691289838|     ~   |5.728    |4.607    |     ~   |     ~   |K0III                | 108 |   0
154 |HD 20283                           |** |03 17 11.45946 +40 28 58.6932          |6.270    |6.430    |6.460    |     ~   |     ~   |B9.5Vn+A2VpSrCrSi    |  46 |   0
155 |* bet Per                          |SB*|03 08 10.1324535 +40 57 20.328013      |1.70     |2.07     |2.12     |2.08     |2.11     |B8V                  |1239 |   1
156 |HD 20346                           |*  |03 17 45.7545100344 +39 17 00.141698796|     ~   |6.005    |5.967    |     ~   |     ~   |A2IV                 |  51 |   0
157 |* gam Cyg                          |V* |20 22 13.7018357 +40 15 24.044963      |3.44     |2.90     |2.23     |1.74     |1.40     |F8Ib                 | 596 |   0
